Latitude,Longitude,Altitude
51.1803138,-114.1320062,1050
51.1803246,-114.1320920,1050
51.1803997,-114.1351993,1050
51.1805069,-114.1351564,1050
51.1801851,-114.1320062,1050
51.1803246,-114.1319847,1050
51.1803138,-114.1320276,1050
51.1803782,-114.1320705,1050
51.1807108,-114.1320705,1050
51.1801636,-114.1351349,1050
51.1804426,-114.1319847,1050
51.1803460,-114.1320491,1050
51.1803997,-114.1319203,1050
51.1803889,-114.1320062,1050
51.1803460,-114.1320062,1050
51.1802924,-114.1319418,1050
51.1804748,-114.1351993,1050
51.1801529,-114.1320276,1050
51.1802709,-114.1351778,1050
51.1803246,-114.1320491,1050
51.1803782,-114.1320062,1050
51.1802602,-114.1320920,1050
51.1803031,-114.1320276,1050
51.1802280,-114.1320491,1050
51.1802816,-114.1320062,1050
51.1802924,-114.1319633,1050
51.1803782,-114.1320920,1050
51.1803567,-114.1351349,1050
51.1805606,-114.1320062,1050
51.1803567,-114.1351564,1050
51.1804426,-114.1320920,1050
51.1801314,-114.1320705,1050
51.1802495,-114.1320062,1050
51.1804104,-114.1320705,1050
51.1803675,-114.1320705,1050
51.1802280,-114.1320491,1050
51.1803138,-114.1320062,1050
51.1802280,-114.1351993,1050
51.1804511,-114.1351778,1050
51.1803675,-114.1322422,1050
51.1801422,-114.1351564,1050
51.1803138,-114.1323280,1050
51.1801744,-114.1325512,1050
51.1803246,-114.1351564,1050
51.1804104,-114.1320062,1050
51.1802816,-114.1319847,1050
51.1803782,-114.1320276,1050
51.1802816,-114.1320705,1050
51.1802924,-114.1319203,1050
51.1802280,-114.1320062,1050
51.1803460,-114.1320491,1050
51.1802495,-114.1320491,1050
51.1803138,-114.1320920,1050
51.1803997,-114.1320705,1050
51.1804318,-114.1351564,1050
51.1803889,-114.1320705,1050
51.1804533,-114.1351135,1050
51.1801958,-114.1320062,1050
51.1802924,-114.1351778,1050
51.1803567,-114.1351135,1050
51.1803246,-114.1320062,1050
51.1802602,-114.1320491,1050
51.1803460,-114.1320062,1050
51.1803889,-114.1320491,1050
51.1802924,-114.1320705,1050
51.1803460,-114.1320062,1050
51.1802387,-114.1320491,1050
51.1803675,-114.1320276,1050
51.1802387,-114.1320705,1050
51.1803675,-114.1320276,1050
51.1803782,-114.1320062,1050
51.1803031,-114.1320062,1050
51.1803675,-114.1320491,1050
51.1802495,-114.1320062,1050
51.1802924,-114.1319203,1050
51.1803138,-114.1319847,1050
51.1803138,-114.1320705,1050
51.1805177,-114.1313839,1050
51.1803246,-114.1320062,1050
51.1802065,-114.1320705,1050
51.1803246,-114.1320276,1050
51.1803031,-114.1351135,1050
51.1803567,-114.1320491,1050
51.1802924,-114.1320062,1050
51.1803353,-114.1319847,1050
51.1803460,-114.1320491,1050
51.1805284,-114.1351564,1050
51.1804104,-114.1320920,1050
51.1803997,-114.1351349,1050
51.1800671,-114.1319633,1050
51.1801744,-114.1319847,1050
51.1803246,-114.1320276,1050
51.1802065,-114.1320705,1050
51.1802924,-114.1351135,1050
51.1802602,-114.1319418,1050
51.1801207,-114.1319418,1050
51.1802495,-114.1319418,1050
51.1801314,-114.1320491,1050
51.1802924,-114.1320491,1050
51.1802924,-114.1320276,1050